procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 910800 236168 1677904 890504    0    0 106496     0 9414 2279  9  4 86  1  0  0
 1  0 910800 223904 1714008 890508    0    0 98304   132 9787 2167  8  5 87  0  0  0
 1  0 910800 190356 1757812 890648    0    0 106496   136 11540 2570  8  5 86  1  0  0
 2  0 910800 232676 1640620 890792    0    0 98304   248 11698 3197 19  5 76  0  0  0
 1  0 910800 242432 1628604 890944    0    0 106496   132 11595 2563 16  5 78  1  0  0
 2  0 910800 253416 1694188 891024    0    0 155728   240 13194 2558  8  5 86  0  0  0
 1  0 910800 201388 1701116 891040    0    0 98304   200 10232 2396  9  5 86  0  0  0
 1  0 910800 204752 1716220 891044    0    0 106496  2488 10480 2170  8  5 87  0  0  0
 1  0 910800 210120 1711108 891052    8    0 147464    44 11200 2189  8  5 86  0  0  0
 4  0 910800 214460 1724164 891056    0    0 106496    16 9905 2467 13  5 82  0  0  0
 2  0 910800 215884 1669896 891356    0    0 98596     0 10713 2839 20  6 74  0  0  0
 0  0 910800 222412 1745160 891368    0    0 106496     4 11776 2564 11  5 84  0  0  0
 2  0 910800 248060 1750040 891372    0    0 98304    88 9590 2184  9  4 87  0  0  0
 2  0 910800 270128 1716280 891380    4    0 155652    84 11441 2405  8  6 86  0  0  0
 1  0 910800 255140 1728576 891388    0    0 106496    28 10435 2302  9  5 86  0  0  0
 1  0 910800 241596 1732960 891404    0    0 98304   108 11111 2549  8  5 87  0  0  0
 2  0 910800 232632 1652064 891488    0    0 106496     0 11935 2510 17  7 76  0  0  0
 2  0 910800 301648 1689472 891528    0    0 98400   132 10645 2859 17  5 78  0  0  0
 1  0 910800 221940 1775316 891504    4    0 147460   144 12351 2424  8  6 86  0  0  0
 1  0 910800 187936 1784480 891668    0    0 106496   260 10956 2214  8  5 86  0  0  0
 1  0 910800 184444 1795488 891672    0    0 106496     8 10561 2117  9  5 87  0  0  0
 1  0 910800 206792 1748140 891684    0    0 204800    68 14101 23140 11  5 83  1  0  0
 2  0 910800 193264 1749932 891692    0    0 253952    12 13859 2486 13  5 82  1  0  0
 2  0 910800 215576 1670088 891828    0    0 253952  2260 15074 3367 21  6 72  1  0  0
 1  0 910800 226704 1720264 891540    0    0 262144     4 13946 2862 11  4 83  1  0  0
 1  0 910800 257432 1742056 892228    0    0 237568   104 11898 2595  9  4 86  1  0  0
 1  0 910800 209840 1773576 892652    0    0 253984    88 14324 2813  9  4 86  1  0  0
 1  0 910800 201824 1772320 893268    0    0 221184    80 11756 2463  9  4 86  1  0  0
 1  0 910800 236328 1740116 893864    4    0 253956   272 14082 3899 10  5 84  1  0  0
 2  0 910800 249184 1659732 894404    0    0 262144     8 15553 2764 18  6 75  1  0  0
 1  0 910800 194344 1699732 895012    0    0 253952   212 16252 4032 19  6 75  1  0  0
 1  0 910800 233296 1709196 895684    0    0 253952  2428 13805 2965  9  4 86  1  0  0
 1  0 910800 225488 1745868 896072    0    0 253968   244 13855 3051  9  4 85  1  0  0
 1  0 910800 239388 1785908 897112    0    0 262144  2528 14578 3303  9  5 85  1  0  0
 1  0 910800 211956 1753676 897612    0    0 253952   260 13044 2448  9  5 85  1  0  0
 1  1 910800 194504 1762172 898244    0    0 229440   208 12208 2837 12  4 83  1  0  0
 2  0 910800 200068 1684676 898748    0    0 229376   196 14945 3358 21  6 73  1  0  0
 1  0 910800 254720 1701316 899472    0    0 253952     4 14230 2790 13  6 81  0  0  0
 1  0 910800 219600 1745364 900080    0    0 262144    64 12903 2404  9  4 86  1  0  0
 1  0 910800 218008 1747668 900788    0    0 253952     0 13310 2406  9  4 86  1  0  0
 0  1 910800 233296 1740028 901248    0    0 245760   176 11728 2631  9  4 86  1  0  0
 1  0 910800 191232 1762812 901788    0    0 212992    12 11038 2272  9  4 86  1  0  0
 2  0 910800 191736 1701388 902328    0    0 253952    52 13472 2604 15  6 78  1  0  0
 2  0 910800 201068 1659684 902948    4    0 262148  2020 14251 3036 20  6 73  1  0  0
 1  0 910800 215580 1726756 903676    0    0 253952     4 12338 2434 10  4 85  1  0  0
 1  0 910800 226732 1742148 904140    0    0 204800   132 10935 2626  9  4 86  1  0  0
 1  0 910800 251736 1715544 904412    0    0 131068    64 10050 2592  8  4 87  1  0  0
 0  0 910800 1934272  31908 892796    0    0    40   348 4179 3967  1  4 95  0  0  0
 0  0 910800 1939180  31940 892796    0    0     0   112 1800 1955  0  0 100  0  0  0
 1  0 910800 1862848  31940 892808    0    0     0     8 2951 2141 11  1 88  0  0  0
