procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 910800 201124 1595392 897800    0    0 106496   104 14618 1923  7  7 87  0  0  0
 1  0 910800 230680 1578792 897808    0    0 98304   116 13333 2152  7  6 87  0  0  0
 1  0 910800 204612 1595944 897812    0    0 106496    64 14191 1940  6  7 87  0  0  0
 2  0 910800 272920 1532200 897756    0    0 81920    16 13715 2235 13  7 79  0  0  0
 1  0 910800 300692 1484888 898124    0    0 65536   244 16307 4264 18  8 74  0  0  0
 1  0 910800 217128 1591384 897812    0    0 106496     0 13041 2027  7  6 87  0  0  0
 1  0 910800 193444 1604000 898052    0    0 98336   180 13888 2895  6  6 87  1  0  0
 0  1 910800 225184 1643132 897844    0    0 98304  2228 14483 2686  6  6 87  1  0  0
 1  0 910800 235508 1552772 897944    0    0 57344  2412 13351 2040  6  7 87  0  0  0
 2  0 910800 238128 1545124 898176    0    0 106496   140 14141 2388  8  6 86  0  0  0
 2  0 910800 267092 1445028 898456    0    0 98304     0 12988 2190 18  7 74  0  0  0
 1  0 910800 270996 1551524 898232    0    0 106496    12 15524 2499 10  7 83  0  0  0
 1  0 910800 251304 1578740 898280    0    0 49152     0 13370 1908  6  6 87  0  0  0
 1  0 910800 225004 1555364 898240    0    0 98304    56 14691 1981  6  7 87  0  0  0
 1  0 910800 257116 1547716 898180    0    0 106496   112 13458 2135  7  6 87  0  0  0
 1  0 910800 270340 1528260 898248    0    0 98304    12 13168 1989  6  6 87  0  0  0
 2  0 910800 232860 1548516 898244    0    0 106496   108 15577 2203 13  8 79  0  0  0
 1  0 910800 307708 1484516 898404    0    0 49152     0 14191 2612 16  7 77  0  0  0
 1  0 910800 215460 1533668 898292    0    0 106496  1692 13929 2196  6  6 87  1  0  0
 1  0 910800 211792 1544708 898384    0    0 98304   176 13897 2411  7  6 87  0  0  0
 1  0 910800 223760 1534724 898428    0    0 106496     0 14101 1899  6  6 87  0  0  0
 1  0 910800 237220 1575004 898584    0    0 98304   232 15339 2943  6  6 87  0  0  0
 2  0 910800 251320 1536348 898440    0    0 49152    16 12653 1956  8  7 85  0  0  0
 2  0 910800 228068 1472092 898480    0    0 106496     0 14540 2449 18  7 75  0  0  0
 1  0 910800 256144 1541980 898616    0    0 98304     8 14124 2371 11  6 83  0  0  0
 1  0 910800 203908 1589092 898464    0    0 106496    84 14309 1969  6  6 87  0  0  0
 1  0 910800 234064 1601636 898480    0    0 98304     4 14651 1967  6  6 87  0  0  0
 1  0 910800 260808 1541432 898472    0    0 53964    52 12828 1945  6  7 87  0  0  0
 1  0 910800 247596 1554412 898520    0    0 98996    16 13166 1924  7  6 87  0  0  0
 2  0 910800 241864 1483808 898312    0    0 104964  1404 14210 2662 14  7 78  0  0  0
 1  0 910800 270136 1529244 898544    0    0 102524     0 15950 2725 15  7 77  0  0  0
 1  0 910800 246752 1559596 898456    0    0 57344   188 13096 2147  7  6 87  0  0  0
 1  0 910800 218672 1540284 898524    0    0 98304     0 14959 1991  6  7 87  0  0  0
 1  0 910800 212380 1550524 898584    0    0 98304     0 12409 2027  7  6 87  0  0  0
 1  0 910800 200060 1598660 898524    0    0 106496  1136 13146 2016  7  6 87  0  0  0
 2  0 910800 289960 1580484 898836    0    0 98304    16 15075 2104  8  7 85  0  0  0
 3  0 910800 280436 1465356 898948    0    0 57344   324 15049 3817 18  8 74  0  0  0
 1  0 910800 229340 1506580 899124    0    0 98304    36 14236 2482  9  7 84  0  0  0
 1  0 910800 215328 1526292 899480    4    0 106500   220 12708 1959  7  6 87  0  0  0
 1  0 910800 199704 1537588 899692    0    0 98304   112 13172 2346  6  7 87  1  0  0
 1  0 910800 212836 1585468 899996    0    0 106496    36 15085 2032  6  6 87  0  0  0
 1  0 910800 258988 1546812 900080    0    0 49152    52 13286 1912  6  6 87  0  0  0
 2  0 910800 233008 1471548 900372    0    0 98304     0 12775 1998 15  7 78  0  0  0
 1  0 910800 204904 1492796 900556    0    0 106496     4 13836 2700 15  7 78  1  0  0
 1  0 910800 238076 1546044 900696    0    0 81920  2056 13519 2044  6  7 87  0  0  0
 1  0 910800 214920 1505860 900920    0    0 73728    44 13173 1918  6  7 87  0  0  0
 1  0 910800 203980 1574756 900960    0    0 98304    88 13315 2009  7  6 87  0  0  0
 1  0 910800 205148 1563500 901172    0    0 106496    64 13764 1895  7  6 87  0  0  0
 2  0 910800 211328 1544316 901452    0    0 98304    84 14963 2217  9  7 83  0  0  0
 2  0 910800 258176 1489676 901688    0    0 81936   204 15489 2882 18  7 74  0  0  0
 0  0 910800 231304 1475000 902024    0    0 73728     0 14384 2295  9  7 85  0  0  0
 1  0 910800 222292 1460460 902300    0    0 98352   180 12780 2658  7  6 87  0  0  0
 1  0 910800 236808 1454316 902784    0    0 106496    72 13125 1897  7  6 87  0  0  0
 1  0 910800 180980 1524212 902784    0    0 98304    36 14480 2106  6  7 87  0  0  0
 1  0 910800 312012 1541108 902732    0    0 73728  1500 14011 2004  6  7 87  0  0  0
 2  0 910800 227912 1478156 903380    0    0 81920   272 15936 24561 17  9 74  0  0  0
 1  0 910800 255284 1500436 903188    0    0 106496    40 14779 2367 14  7 79  0  0  0
 1  0 910800 195036 1569844 903832    0    0 98304   100 13752 2355  7  6 87  0  0  0
 1  0 910800 268844 1559860 903896    0    0 106496    52 15454 2003  6  7 87  0  0  0
 1  0 910800 298932 1585268 903884    0    0 49152   216 12747 2729  6  6 87  0  0  0
 1  0 910800 215516 1562500 904356    0    0 98304    24 14264 1950  6  7 87  0  0  0
 2  0 910800 219192 1521576 904684    0    0 106496   144 13686 2157 11  7 83  0  0  0
 2  0 910800 202372 1480368 904752    0    0 98304    36 14003 2463 18  7 74  0  0  0
 1  0 910800 239172 1586864 905104    0    0 106496     4 15169 2118  7  7 86  0  0  0
 1  0 910800 240376 1576944 905216    0    0 49152  1948 13764 2681  7  6 87  0  0  0
 1  0 910800 202324 1567784 905496    0    0 106496   192 15178 3685  8  7 85  0  0  0
 1  0 910800 192264 1577088 905904    0    0 98320   356 13960 2817  7  6 87  0  0  0
 1  0 910800 199864 1565344 905976    0    0 106496   108 13440 2090  6  6 87  0  0  0
 2  0 910800 222440 1518496 906080    0    0 98304     0 16507 2385 16  8 76  0  0  0
 1  1 910800 319484 1457040 906360    0    0 49184  2448 14823 3352 13  7 79  1  0  0
 1  0 910800 212156 1563568 906644    0    0 106496   192 14126 2247  6  6 87  0  0  0
 2  0 910800 231748 1546416 906876    0    0 98304     8 12766 1863  7  6 87  0  0  0
 2  0 910800 216968 1565112 907136    0    0 106496    64 13716 1920  7  6 87  0  0  0
 2  0 910800 214096 1604024 907476    0    0 98304     0 14358 2045  6  6 87  1  0  0
 3  0 910800 234116 1486040 907764    0    0 57344   124 13788 2241 11  7 82  0  0  0
 2  0 910800 231272 1442792 907860    0    0 98304  1688 15249 2683 18  7 74  0  0  0
 1  0 910800 221560 1464584 908240    0    0 106496   176 11945 2040  7  5 87  1  0  0
 1  0 910800 196792 1506056 908332    0    0 98304     0 14648 1902  6  6 87  0  0  0
 1  0 910800 240940 1567752 908528    0    0 90112     4 14089 1970  7  6 87  0  0  0
 1  0 910800 268808 1544752 908652    0    0 65536   128 13871 2333  6  6 88  0  0  0
 1  0 910800 180604 1584688 909048    0    0 98304    16 13116 1771  7  6 87  0  0  0
 2  0 910800 269060 1406576 909300    0    0 106496   288 14871 3067 18  8 75  0  0  0
 1  0 910800 184668 1504888 909556    0    0 98304    28 15867 2348 12  7 81  0  0  0
 1  0 910800 294240 1526392 909716    0    0 106496     0 15532 2052  6  6 87  0  0  0
 1  0 910800 241096 1546104 909916    0    0 49152     8 13399 1879  7  6 87  0  0  0
 1  0 910800 204764 1564552 910148    0    0 106496  1552 14736 2081  6  6 87  0  0  0
 1  0 910800 220576 1548424 910336    4    0 98308    16 13799 1863  7  6 87  0  0  0
 2  0 910800 198524 1503468 910564    0    0 105060    32 14327 1992 12  7 81  0  0  0
 1  0 910800 353020 1458568 910900    0    0 99740     0 16103 2572 18  7 75  0  0  0
 1  0 910800 268656 1507768 910948    0    0 49152   156 13387 2397  6  6 87  0  0  0
 1  0 910800 179004 1584312 911324    0    0 106496     0 14857 1945  7  6 87  0  0  0
 1  0 910800 192868 1566968 911420    0    0 98304   196 13127 2503  7  5 87  1  0  0
 1  0 910800 249136 1599740 911540    0    0 32764    28 12491 2169  7  6 87  0  0  0
 1  0 910800 1851316  38172 899952    0    0    24   392 4714 3965  2  4 93  0  0  0
 1  0 910800 1770304  38172 900024    0    0     0     0 2844 2042 12  1 87  0  0  0
