procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0 859044 220616 1559440 787068    0    0 49152  2032 14330 2567 18  8 74  0  0  0
 1  0 859044 214560 1597352 787100    0    0 98304    76 12876 1828  8  6 86  0  0  0
 1  0 859044 204572 1613736 787108    0    0 106496    44 12950 1854  7  6 87  0  0  0
 1  0 859044 199164 1652416 787060    0    0 98352  2748 16056 3353  6  7 86  1  0  0
 1  0 859044 212412 1619672 787196    0    0 57344   132 13273 1808  6  7 87  0  0  0
 1  0 859044 215848 1626888 787340    0    0 98304   220 13225 2305  7  6 87  0  0  0
 2  0 859044 210180 1583156 787324    0    0 106496   196 16013 2744 16  8 75  0  0  0
 1  0 859044 308680 1574708 787228    0    0 49152     0 13882 2353 13  7 80  0  0  0
 1  0 859044 281296 1585972 787232    0    0 98304     0 13595 1939  6  7 87  0  0  0
 1  0 859044 205148 1662532 787320    0    0 106496   124 12593 1869  7  6 87  0  0  0
 1  0 859044 460140 1520204 787328    0    0 98304    40 15285 1992  6  7 87  0  0  0
 1  0 859044 343632 1577548 787376    0    0 57344    16 13327 1811  6  7 87  0  0  0
 2  0 859044 210096 1615180 787384    0    0 98304     8 12508 2000 11  6 82  0  0  0
 2  0 859044 193464 1573760 787496    0    0 106512   184 15596 3072 18  8 74  0  0  0
 1  0 859044 276864 1609344 787236    0    0 65536     0 13208 1887  7  7 86  0  0  0
 1  0 859044 219872 1601168 787436    0    0 81920  1960 14306 1889  6  7 87  0  0  0
 1  0 859044 211020 1646496 787372    0    0 106496    56 12908 2006  7  6 87  0  0  0
 1  0 859044 228368 1684132 787444    0    0 98304    28 13844 1906  6  7 87  0  0  0
 1  0 859044 283132 1612556 787452    0    0 49512    24 13011 2054  6  7 87  0  0  0
 2  0 859044 221460 1567908 787460    0    0 106136     0 14192 2199 17  8 75  1  0  0
 1  0 859044 207656 1585600 787296    0    0 106496   156 15846 25519 16  7 76  0  0  0
 1  0 859044 230536 1615836 787628    0    0 90112    92 15327 2352  6  7 87  0  0  0
 1  0 859044 243356 1614300 787696    0    0 57344     0 11524 1857  6  7 87  0  0  0
 1  0 859044 203300 1659140 787700    0    0 106496   120 11151 2244  7  6 87  1  0  0
 2  0 859044 244636 1679112 787864    0    0 98304     0 12946 1898  5  7 87  1  0  0
 2  0 859044 184104 1634564 787708    0    0 57344    32 12863 1847 11  7 82  0  0  0
 2  0 859044 211892 1553932 787800    0    0 98304    76 13327 2551 19  7 74  0  0  0
 1  0 859044 254060 1660428 787728    0    0 106496     0 14507 1960  7  6 87  0  0  0
 1  0 859044 230600 1649428 787860    0    0 49152    44 12901 1930  6  6 87  0  0  0
 1  0 859044 206200 1656340 787860    0    0 98304     0 13038 1856  7  6 87  1  0  0
 1  0 859044 216812 1639468 788008    0    0 106496  2356 12896 1989  7  6 87  0  0  0
 1  0 859044 229300 1676348 787880    0    0 98304   140 14715 2042  6  7 87  1  0  0
 2  0 859044 211668 1552956 787896    0    0 57344    12 13995 2279 17  8 75  0  0  0
 1  0 859044 187820 1592420 788044    0    0 98304   344 13092 2794 13  6 80  1  0  0
 1  0 859044 256120 1610340 787980    0    0 106496     0 13329 1834  6  6 87  1  0  0
 1  0 859044 306232 1645700 788372    0    0 65536    92 13253 2335  6  6 87  0  0  0
 1  0 859044 210668 1636268 788552    0    0 81920   108 13697 2391  6  7 87  1  0  0
 1  0 859044 203472 1653420 788796    0    0 106496    56 12818 1908  7  6 87  0  0  0
 2  0 859044 198428 1630892 789024    0    0 98304    48 14173 2077 12  7 81  0  0  0
 2  0 859044 249724 1568940 789172    0    0 57344     0 14547 2435 18  7 75  0  0  0
 1  0 859044 226256 1637292 789368    0    0 98304     4 13413 1885  6  6 87  0  0  0
 1  0 859044 181944 1682604 789452    0    0 106496  1684 12895 1961  6  6 87  0  0  0
 1  0 859044 263140 1672376 789592    0    0 81920    76 14105 1949  6  7 87  0  0  0
 1  0 859044 252736 1609680 789980    0    0 58112   200 13224 2278  6  7 87  0  0  0
 1  0 859044 197428 1662192 790240    0    0 113952    16 12556 1775  7  6 87  0  0  0
 2  0 859044 209224 1604096 790248    0    0 98304    72 15194 2242 17  8 74  1  0  0
 1  0 859044 246892 1601296 790620    0    0 57344    60 13250 2321 12  7 81  0  0  0
 1  0 859044 181292 1669136 790820    0    0 98304     0 13315 1882  6  6 87  0  0  0
 1  0 859044 192940 1654544 791060    0    0 106496    28 11937 1889  7  6 87  1  0  0
 1  0 859044 210328 1690900 791292    0    0 98304    44 14228 1848  6  7 87  0  0  0
 1  0 859044 249888 1647412 791412    0    0 49152   108 12908 2336  6  6 87  0  0  0
 2  0 859044 196784 1601364 791432    0    0 106496  1456 13935 2437 12  7 80  1  0  0
 3  0 859044 307500 1522276 791968    0    0 98304    76 14542 3407 19  7 73  0  0  0
 1  0 859044 333380 1628864 792180    0    0 106512  1276 16252 3356  7  7 86  1  0  0
 1  0 859044 208924 1648064 792296    0    0 49152    64 12789 1891  6  6 87  0  0  0
 1  0 859044 217244 1636296 792668    0    0 106496    52 12059 1945  7  6 87  0  0  0
 1  0 859044 201492 1641424 792896    0    0 98304    48 12255 1914  6  6 87  0  0  0
 2  0 859044 227896 1629392 793012    0    0 49152    16 12179 1945  7  7 87  0  0  0
 2  0 859044 203848 1556944 793372    0    0 106496    20 15880 2293 18  8 74  0  0  0
 1  0 859044 190336 1596368 793500    0    0 98304     0 14193 2264 12  6 81  0  0  0
 1  0 859044 284540 1613024 793800    0    0 106496    96 14694 1979  6  7 87  0  0  0
 1  0 859044 263868 1632236 793860    0    0 49152    52 13682 1918  6  6 87  0  0  0
 1  0 859044 200212 1649660 794100    0    0 106496  1280 14018 2058  6  6 87  1  0  0
 2  0 859044 191940 1656372 794340    0    0 98304   200 13689 2486  7  6 87  0  0  0
 2  0 859044 228472 1641268 794696    0    0 106496    16 15014 2031 12  7 81  1  0  0
 3  0 859044 306880 1540444 794712    0    0 49152   184 14651 3005 17  8 75  0  0  0
 1  0 859044 215204 1608312 795068    0    0 98304   104 13663 2406  7  6 87  0  0  0
 1  0 859044 198492 1624184 795192    0    0 106496     0 12610 1877  7  6 87  0  0  0
 1  0 859044 217612 1633400 795420    0    0 98304     4 13907 1991  6  7 87  0  0  0
 1  0 859044 307508 1601408 795552    0    0 57344   244 12904 1936  6  6 87  0  0  0
 2  0 859044 197112 1638792 795948    0    0 98304    64 14777 1948  7  7 86  0  0  0
 2  0 859044 211220 1536136 795780    0    0 106496    20 13907 2220 18  7 75  0  0  0
 1  0 859044 233864 1605000 796020    0    0 98304  1400 15266 2325 12  7 82  0  0  0
 0  1 859044 248592 1648728 796432    0    0 73728  1896 14798 2870  7  6 87  0  0  0
 2  0 859044 202812 1639256 796628    0    0 81920     0 14369 1786  6  7 87  0  0  0
 1  0 859044 191080 1647984 796856    0    0 98304    80 12748 1854  7  6 87  1  0  0
 1  0 859044 203204 1633408 797216    0    0 106496    72 13475 2111  6  6 87  0  0  0
 2  0 859044 209636 1630256 797064    0    0 81920    84 14380 2044 12  7 80  0  0  0
 1  0 859044 348788 1553796 797544    0    0 49148    44 13390 2701 18  7 76  0  0  0
 0  0 859044 1896728  36188 788840    0    0    20   108 5841 3437  4  6 90  0  0  0
 2  0 859044 1885180  36292 791248    0    0    16   320 3254 8762  2  1 97  0  0  0
 0  0 859044 1917296  36328 788896    0    0     0    80 2555 11254  1  0 99  0  0  0
 0  0 859044 1921556  36336 789028    0    0     0    36 1467 1559  0  0 100  0  0  0
 1  0 859044 1925648  36376 789032    0    0     0   216 1882 1993  1  0 99  0  0  0
 1  0 859044 1857988  36376 789044    0    0     0     8 2836 1950 12  1 87  0  0  0
